SDP,LogDet
26796.793632851,27892.0733524209
27773.1971313526,27018.9204501801
26996.8055230651,27620.3512523551
28764.0477667691,27572.2582254064
29060.9499640231,26958.6689031503
27915.5452997464,25884.0198101212
27142.26849617,27557.0470201321
27757.3508620042,26878.0136023553
29251.4102391442,26312.1058093588
28463.0548917255,27928.9125126207
26260.1807537643,27366.1441545404
27613.345035682,28261.2241775199
28066.2560621928,29622.4192261983
28536.6237602622,29054.1748618821
27469.583642183,27110.4646088034
27123.0815934778,26503.0969522668
26625.4733526576,29664.3835061498
27525.1986516743,27571.0931302574
26792.1323088848,26200.7875814734
27182.6250413159,27459.3071546827
27677.7413109988,28029.9579726815
25812.251723472,25610.2358393571
28454.8705402848,28169.8114292418
23107.0001312131,29277.6498579766
27181.2065150187,26733.9389901402
28252.6066984962,27749.0572235149
27574.2498581669,27521.8402915845
26215.5658968724,28570.8025784348
28679.6209715272,26825.0676560026
29495.6425445694,27893.7243049105
25842.2570747946,27215.6355585775
26629.5446993112,27277.222936971
27531.3956100476,28895.0344407366
28178.0528890037,27061.2667195741
28998.4613110565,27087.5344114961
24744.8496717088,28352.8972816949
28425.6914133001,27194.3364932647
25735.5965675705,27778.5355880101
28166.2474352926,28077.9020848327
25971.2137412981,26153.4050669261
29032.7702158124,27421.7193559344
27868.823061245,27242.172307936
23464.0942789455,28378.8938014916
26927.0754577324,27408.3780937464
25242.1914025735,26451.90003654
28667.3090004993,28149.7736072279
26385.7073950008,28884.086100989
26790.6537363719,27377.1643114016
26500.6421232656,26993.112434162
24641.5478825674,29993.2640144685
26366.9912190605,26952.4777705538
27093.7812374861,27412.5108302435
28185.1931535232,27254.0855442181
27652.5698123755,27699.9649799177
29693.8704788388,28082.4047255934
27474.9975146058,26010.7975388274
27862.0982397207,28213.2865924287
26891.1911225149,27004.23279657
27531.6310874582,27019.0062071664
29106.3933095537,27425.7558897566
27448.0605745167,26355.7548885498
27831.299241475,26910.4905676452
27960.2303225477,26733.0243483464
27188.1712545705,26892.8051796189
27305.2371465885,28121.6207958896
30175.9759688555,27445.8112892552
26558.0935490344,27615.1196728713
28828.36662141,26921.718044758
26429.7856774389,27277.222936971
28867.4198467454,29034.107411271
26236.967459849,29236.6625445999
27047.8750787649,26927.3141068798
27445.999867758,27858.7231552129
26825.8216822982,26910.4905676452
27170.2229280178,27018.9133678074
26038.1495795488,28221.7605492273
27499.9952151651,27018.9133678074
28113.8983738696,27529.0927220978
26738.8120679703,27797.1769080577
28895.0344407366,26825.2906196526
27114.7138510741,28643.4480318748
29247.022419867,28837.7736694867
28008.9132859939,27172.6270137152
27960.5790766014,27775.2663663016
29267.0232002668,29201.8268479948
27646.7959706731,27523.2892717735
28349.585662507,27910.4857251447
27436.8708792362,29333.5298377817
27517.1671988594,28854.6176838888
26812.6418165415,28851.4917496638
29622.4192261983,28104.7732825862
26192.7544653851,27591.8417767712
26890.3398372058,26355.7548885498
27866.5434734378,27858.7231552129
29688.9403046676,27185.45234984
28486.7940604386,27286.33812514
25945.8849503555,27847.1037911676
26516.9686643425,28232.2125603402
27825.111698342,26970.7937631381
29531.965638725,27166.1724915737
25722.0473717113,27375.9065217994
27165.0350641647,26642.8465382845
26366.5203113755,28178.6317374275
26003.647377975,28331.9974262174
27639.101530131,26686.6138967881
26213.8506107775,27000.3387895255
26907.4271662662,27850.9867581654
29032.3947550434,26402.4162462885
27276.6108205317,29675.8609841472
26935.1942717044,27194.3364932647
27445.4198701576,28546.5358533141
27050.8254545249,28511.6180219972
27445.8112892552,29103.1334640041
27718.7924291173,27600.5432450036
26356.7923617182,27891.7942248172
25287.8505137169,26792.517967254
25355.4638218666,29124.6956451193
28039.0072515229,28703.4318671096
28058.6251707993,27111.0808304556
27071.8091363636,27195.9306266907
28034.7057765443,29052.5162413025
29126.4028460773,29375.4424912674
25699.8847109124,26999.7474951677
27798.3272586512,28888.7217729931
29900.5221812078,27537.3229161183
26137.3745296695,27972.2733384578
27019.021379714,27738.5853959945
26606.3881914638,25719.7878870924
26722.1187420584,26686.6138967881
26854.7430537018,28240.8465152992
25529.1543373149,27731.470343798
27623.780883374,27960.4517702147
26765.6090497283,27351.4396546032
27116.5975854679,29729.9594742144
27304.4390578275,27798.6414752346
27378.6472132078,29533.3389341304
26512.4528576449,28634.778896766
27093.5966855776,26638.3515657906
29117.3738415612,26025.9781290934
26678.18154369,28287.8591085926
26954.8852258038,26767.7673451286
25813.6541932375,28884.086100989
27417.5824643649,28885.4714426457
27038.962623625,27455.4273001355
29765.2654707009,27783.7417538163
27710.142253898,27856.4193943223
28910.826135729,28256.2161425976
28844.0073732327,25090.801047412
27525.10259167,28326.0126612251
28926.065104058,29568.6483595225
29050.342602548,27185.45234984
27453.0599365496,27105.7801632887
27085.0896307048,29767.4182941433
27540.5250038419,27600.5432450036
27201.4736912059,26923.4715049229
29052.5162413025,26876.7732886862
26348.6094251158,27325.4801857111
27486.0395873928,29397.5942411144
26243.6510537462,26536.0550408666
27486.8775714131,27996.4963470053
28847.6537004638,26767.7673451286
26333.5314502847,25795.2980633512
28385.4138520535,26915.76000193
28386.7931327539,27521.8402915845
27155.7943701147,27161.5001345327
27437.4075128587,28475.6111250268
29179.0555060984,27439.0685154231
